# トレーナーの手持ち。1行 = 1体。並びがそのまま繰り出す順。
#
# 列は named-parties.tsv に揃えてあるが、**性格・努力値・特性の欄は置かない。**
# あれはエンドゲームの調整欄で、道中のトレーナーには要らない ――
# 4つの欄すべてが空で並ぶ表を作ると、書き忘れと「書く必要が無い」が
# 区別できなくなる（Ruleset に歩数制限を足さない判断と同じ理由）。
#
# item だけ残す。原作の道中トレーナーはたまに持ち物を持つ。
trainer	species	level	moves	item
kanto-rival-bulbasaur	bulbasaur	4	tackle/growl	-
kanto-rival-charmander	charmander	4	scratch/growl	-
kanto-rival-squirtle	squirtle	4	tackle/tail-whip	-
kanto-route2-bug-catcher	caterpie	7	tackle/string-shot	-
kanto-route2-bug-catcher	weedle	7	poison-sting/string-shot	-
kanto-forest-bug-1	weedle	9	poison-sting/string-shot	-
kanto-forest-bug-1	kakuna	9	harden	-
kanto-forest-bug-2	caterpie	10	tackle/string-shot	-
kanto-forest-bug-2	metapod	10	harden	-
kanto-forest-bug-2	butterfree	10	confusion/gust	-
kanto-pewter-gym-jr	geodude	10	tackle/rock-throw	-
kanto-pewter-gym-jr	onix	10	rock-throw/harden	-
kanto-brock	geodude	12	tackle/rock-throw/harden	-
kanto-brock	onix	14	rock-throw/bulldoze/harden/bite	-
kanto-route3-lass	pidgey	9	tackle/sand-attack	-
kanto-route3-lass	nidoran-f	9	scratch/growl	-
kanto-route3-youngster	rattata	10	tackle/tail-whip	-
kanto-route3-youngster	spearow	10	peck/growl	-
kanto-moon-hiker	geodude	11	tackle/rock-throw	-
kanto-moon-hiker	onix	11	rock-throw/harden	-
kanto-moon-rocket	rattata	13	hyper-fang/tail-whip	-
kanto-moon-rocket	zubat	13	leech-life/supersonic	-
kanto-route4-bug	butterfree	12	confusion/gust	-
kanto-route4-bug	beedrill	12	twineedle/string-shot	-
kanto-cerulean-gym-jr	goldeen	16	water-gun/horn-attack	-
kanto-cerulean-gym-jr	psyduck	16	water-gun/confusion	-
kanto-misty	staryu	18	water-gun/harden/swift	-
kanto-misty	starmie	21	water-gun/bubble-beam/swift/recover	-
kanto-route5-hiker	machop	15	karate-chop/low-sweep	-
kanto-route5-hiker	geodude	15	rock-throw/tackle	-
kanto-route6-camper	nidoran-m	16	peck/leer	-
kanto-route6-camper	sandshrew	16	scratch/sand-attack	-
kanto-vermilion-gym-jr	voltorb	21	spark/screech	-
kanto-vermilion-gym-jr	magnemite	21	thunder-shock/supersonic	-
kanto-surge	voltorb	21	spark/screech/thunder-wave	-
kanto-surge	pikachu	18	thunder-shock/quick-attack/thunder-wave	-
kanto-surge	raichu	24	thunderbolt/thunder-wave/quick-attack/body-slam	-
kanto-route11-gambler	poliwag	21	water-gun/hypnosis	-
kanto-route11-gambler	horsea	21	water-gun/smokescreen	-
kanto-tower-channeler	gastly	23	lick/hypnosis/confuse-ray	-
kanto-route8-lass	clefairy	24	pound/sing	-
kanto-route8-lass	meowth	24	scratch/bite	-
kanto-route7-camper	nidorino	24	horn-attack/leer	-
kanto-route7-camper	sandslash	24	slash/sand-attack	-
kanto-celadon-gym-jr	weepinbell	26	razor-leaf/poison-powder	-
kanto-celadon-gym-jr	gloom	26	absorb/sleep-powder	-
kanto-erika	victreebel	29	razor-leaf/sleep-powder/acid/vine-whip	-
kanto-erika	tangela	24	absorb/vine-whip/stun-spore	-
kanto-erika	vileplume	29	petal-blizzard/sludge-bomb/sleep-powder/mega-drain	-
kanto-route16-biker	koffing	28	sludge/smokescreen	-
kanto-route16-biker	grimer	28	sludge/poison-gas	-
kanto-fuchsia-gym-jr	venonat	31	confusion/poison-powder	-
kanto-fuchsia-gym-jr	golbat	31	leech-life/confuse-ray	-
kanto-koga	koffing	37	sludge/smokescreen/toxic	-
kanto-koga	muk	39	sludge-bomb/toxic/acid-armor	-
kanto-koga	weezing	43	sludge-bomb/toxic/smog/clear-smog	-
kanto-saffron-gym-jr	kadabra	34	confusion/psybeam	-
kanto-saffron-gym-jr	mr-mime	34	confusion/dazzling-gleam	-
kanto-sabrina	kadabra	38	psybeam/recover/psychic	-
kanto-sabrina	mr-mime	37	psychic/dazzling-gleam/confusion	-
kanto-sabrina	venomoth	38	psybeam/poison-powder/leech-life	-
kanto-sabrina	alakazam	43	psychic/recover/psycho-cut/calm-mind	-
kanto-cinnabar-gym-jr	growlithe	40	flamethrower/take-down/bite	-
kanto-cinnabar-gym-jr	ponyta	40	flame-wheel/stomp/agility	-
kanto-blaine	growlithe	42	flamethrower/bite/take-down	-
kanto-blaine	ponyta	40	flame-wheel/stomp/agility	-
kanto-blaine	rapidash	45	fire-blast/stomp/agility/take-down	-
kanto-blaine	arcanine	47	flare-blitz/crunch/will-o-wisp/body-slam	-
kanto-viridian-gym-jr	sandslash	45	earthquake/slash/rock-slide	-
kanto-viridian-gym-jr	persian	44	slash/body-slam/screech	-
kanto-giovanni	dugtrio	45	earthquake/slash/rock-slide	-
kanto-giovanni	nidoqueen	46	earthquake/body-slam/poison-jab	-
kanto-giovanni	nidoking	47	earthquake/poison-jab/horn-attack/thunderbolt	-
kanto-giovanni	rhyhorn	45	rock-slide/bulldoze/horn-attack	-
kanto-giovanni	rhydon	50	earthquake/rock-slide/horn-attack/body-slam	-
kanto-victory-cooltrainer	machoke	44	brick-break/rock-slide/take-down	-
kanto-victory-cooltrainer	graveler	44	rock-slide/earthquake/body-slam	-
kanto-rival-r22-bulbasaur	pidgeotto	45	wing-attack/aerial-ace/agility	-
kanto-rival-r22-bulbasaur	kadabra	44	psychic/psybeam/recover	-
kanto-rival-r22-bulbasaur	rhyhorn	44	rock-slide/bulldoze/horn-attack	-
kanto-rival-r22-bulbasaur	ivysaur	47	razor-leaf/sludge-bomb/giga-drain	-
kanto-rival-r22-charmander	pidgeotto	45	wing-attack/aerial-ace/agility	-
kanto-rival-r22-charmander	kadabra	44	psychic/psybeam/recover	-
kanto-rival-r22-charmander	rhyhorn	44	rock-slide/bulldoze/horn-attack	-
kanto-rival-r22-charmander	charmeleon	47	flamethrower/slash/crunch	-
kanto-rival-r22-squirtle	pidgeotto	45	wing-attack/aerial-ace/agility	-
kanto-rival-r22-squirtle	kadabra	44	psychic/psybeam/recover	-
kanto-rival-r22-squirtle	rhyhorn	44	rock-slide/bulldoze/horn-attack	-
kanto-rival-r22-squirtle	wartortle	47	waterfall/ice-beam/bite	-
kanto-lorelei	dewgong	54	ice-beam/surf/body-slam/aurora-beam	-
kanto-lorelei	cloyster	53	blizzard/surf/iron-tail	-
kanto-lorelei	slowbro	54	psychic/surf/ice-beam	-
