from	to	kind	level	item	condition
abra	kadabra	level	16		
bellsprout	weepinbell	level	21		
bulbasaur	ivysaur	level	16		
caterpie	metapod	level	7		
chansey	blissey	levelFriendship			
charmander	charmeleon	level	16		
charmeleon	charizard	level	36		
clefairy	clefable	useItem		moon-stone	
cubone	marowak	level	28		
diglett	dugtrio	level	26		
doduo	dodrio	level	31		
dragonair	dragonite	level	55		
dratini	dragonair	level	30		
drowzee	hypno	level	26		
eevee	espeon	levelFriendship			during the day
eevee	flareon	useItem		fire-stone	
eevee	glaceon	useItem		ice-stone	
eevee	jolteon	useItem		thunder-stone	
eevee	leafeon	useItem		leaf-stone	
eevee	sylveon	levelExtra			with a Fairy-type move and two levels of Affection
eevee	umbreon	levelFriendship			at night
eevee	vaporeon	useItem		water-stone	
ekans	arbok	level	22		
electabuzz	electivire	trade		electirizer	
exeggcute	exeggutor	useItem		leaf-stone	
gastly	haunter	level	25		
geodude	graveler	level	25		
gloom	bellossom	useItem		sun-stone	
gloom	vileplume	useItem		leaf-stone	
golbat	crobat	levelFriendship			
goldeen	seaking	level	33		
graveler	golem	trade			
grimer	muk	level	38		
growlithe	arcanine	useItem		fire-stone	
haunter	gengar	trade			
hoppip	skiploom	level	18		
horsea	seadra	level	32		
ivysaur	venusaur	level	32		
jigglypuff	wigglytuff	useItem		moon-stone	
kabuto	kabutops	level	40		
kadabra	alakazam	trade			
kakuna	beedrill	level	10		
koffing	weezing	level	35		
krabby	kingler	level	28		
machoke	machamp	trade			
machop	machoke	level	28		
magikarp	gyarados	level	20		
magmar	magmortar	trade		magmarizer	
magnemite	magneton	level	30		
mankey	primeape	level	28		
marill	azumarill	level	18		
meowth	persian	level	28		
metapod	butterfree	level	10		
nidoran-f	nidorina	level	16		
nidoran-m	nidorino	level	16		
nidorina	nidoqueen	useItem		moon-stone	
nidorino	nidoking	useItem		moon-stone	
oddish	gloom	level	21		
omanyte	omastar	level	40		
onix	steelix	trade		metal-coat	
paras	parasect	level	24		
pidgeotto	pidgeot	level	36		
pidgey	pidgeotto	level	18		
pikachu	raichu	useItem		thunder-stone	
piloswine	mamoswine	levelMove			
poliwag	poliwhirl	level	25		
poliwhirl	poliwrath	useItem		water-stone	
ponyta	rapidash	level	40		
psyduck	golduck	level	33		
rattata	raticate	level	20		
remoraid	octillery	level	25		
rhydon	rhyperior	trade		protector	
rhyhorn	rhydon	level	42		
sandshrew	sandslash	level	22		
scyther	scizor	trade		metal-coat	
seadra	kingdra	trade		dragon-scale	
seel	dewgong	level	34		
shellder	cloyster	useItem		water-stone	
skiploom	jumpluff	level	27		
slowpoke	slowbro	level	37		
slowpoke	slowking	trade		king-s-rock	
slugma	magcargo	level	38		
spearow	fearow	level	20		
squirtle	wartortle	level	16		
staryu	starmie	useItem		water-stone	
swinub	piloswine	level	33		
tangela	tangrowth	levelMove			
tentacool	tentacruel	level	30		
togepi	togetic	levelFriendship			
togetic	togekiss	useItem		shiny-stone	
venonat	venomoth	level	31		
voltorb	electrode	level	30		
vulpix	ninetales	useItem		fire-stone	
wartortle	blastoise	level	36		
weedle	kakuna	level	7		
weepinbell	victreebel	useItem		leaf-stone	
wooper	quagsire	level	20		
zubat	golbat	level	22		
